CPF,Nome Completo,Profissão,Trabalha com Carteira Assinada,Idade,Localização,Renda Mensal,Estado Civil,Número de Dependentes,Score de Crédito,Inadimplência Anterior,Valor Total do Crédito em Aberto,Tipo de Crédito Utilizado Anteriormente,Valor da Compra a Crédito,Número de Parcelas,Taxa de Juros Mensal (%),Taxa de Juros Anual (%),Percentual de Entrada (%),Valor da Entrada,Compra com Entrada,Tipo de Produto ou Serviço Adquirido,Data da Compra,Data de Entrega,Data da Última Compra,Data da Próxima Parcela,Número de Compras a Crédito Anteriores,Montante Total Já Financiado,Percentual de Comprometimento de Renda (%),Status do Pagamento Atual,Canal de Aquisição,Comentários e Histórico de Interações
104.965.823-05,Maria Eduarda Barros,Assessor parlamentar,True,32,Pires do Galho,16864,Viúvo,1,607,False,33709.71,Veículo,24786.79,24,1.97,20.47,10,5026.05,True,Eletrônicos,2023-12-12,2024-12-03,2023-08-24,2024-11-16,18,51699.26,49.43,Atrasado,Presencial,Consequatur culpa necessitatibus adipisci consequuntur at repellendus sequi quia fugit omnis dolores.
960.781.425-85,Isabel da Paz,Odontologista legal,False,34,Ramos,9649,Casado,3,818,False,25427.84,Veículo,23634.8,48,2.46,35.79,20,7888.54,True,Ferramentas,2023-04-23,2024-11-29,2022-04-06,2024-12-13,10,94440.82,29.24,Atrasado,Presencial,Hic molestias delectus ipsa commodi iusto aperiam.
836.194.205-05,Pedro Miguel da Paz,Fiscal,True,60,Correia do Campo,10346,Solteiro,2,337,False,43498.07,Parcelamento em Loja,16539.66,36,2.22,27.83,40,4944.52,True,Ferramentas,2022-02-06,2024-11-16,2021-12-27,2024-11-26,13,33504.7,16.35,Em dia,Telefone,Dicta ratione quas unde omnis vitae vero unde.
654.192.038-98,Joaquim da Mota,Administrador de banco de dados DBA,True,32,Pinto de Sales,6126,Viúvo,2,503,False,17345.16,Pessoal,34681.74,36,2.0,16.66,0,2197.81,False,Eletrônicos,2024-06-24,2024-11-20,2023-12-31,2024-11-18,20,15372.9,36.83,Renegociado,Presencial,Delectus culpa veritatis tenetur distinctio illum cupiditate aut incidunt eveniet.
158.420.376-53,Lorena Rezende,Maquiador,True,39,Carvalho Grande,15230,Viúvo,3,447,False,12753.48,Parcelamento em Loja,4705.92,24,2.37,25.02,20,8625.27,False,Eletrônicos,2023-09-04,2024-11-20,2021-01-24,2024-11-14,9,24872.81,33.17,Renegociado,Online,Asperiores esse mollitia corporis tempore eveniet facilis vitae ratione sequi molestiae eum velit.
614.957.230-70,Olivia Melo,Guarda roupeiro,True,65,Correia da Praia,12512,Solteiro,1,773,False,26298.56,Pessoal,44136.58,24,2.09,6.14,30,4510.72,False,Eletrônicos,2022-03-09,2024-11-16,2021-06-05,2024-11-13,6,21977.31,19.03,Renegociado,Presencial,In laudantium officia qui sunt dolor repellat enim velit.
103.628.947-87,Maria Fernanda Melo,Técnico em documentação,True,53,das Neves,16999,Viúvo,4,301,False,33344.73,Imobiliário,48684.55,48,0.79,34.64,30,8118.55,False,Ferramentas,2024-09-17,2024-12-02,2021-02-19,2024-11-14,10,17495.25,17.41,Renegociado,Presencial,Ex sint neque veritatis libero quaerat blanditiis tempora nobis sed neque a necessitatibus.
475.128.693-55,Fernanda Peixoto,Acompanhante,False,32,Martins,5987,Casado,2,474,True,1451.37,Parcelamento em Loja,9493.34,6,1.36,23.79,30,1118.87,False,Eletrônicos,2023-09-28,2024-11-14,2021-03-31,2025-01-02,14,3382.08,26.65,Em dia,Online,Architecto animi doloribus tempore iusto minima libero beatae laudantium tempora eveniet.
123.975.840-50,Sr. Calebe Ramos,Artista/Técnico em espetáculos de diversões,True,24,Santos,12656,Divorciado,0,602,False,3461.64,Veículo,36694.62,48,2.54,8.16,0,1428.84,False,Ferramentas,2021-11-23,2024-11-21,2023-05-07,2024-12-19,19,78057.4,10.32,Renegociado,Online,Veritatis veniam maxime consectetur adipisci perferendis voluptas consequatur facilis quas quas amet deleniti.
503.682.719-86,Luiz Felipe das Neves,Engenheiro de horticultura,True,55,Freitas dos Dourados,7294,Divorciado,4,614,False,24952.06,Veículo,10189.14,36,1.68,33.22,10,8979.49,True,Eletrônicos,2024-09-17,2024-11-19,2020-11-11,2024-12-26,20,1228.11,15.55,Renegociado,Online,Sunt eaque mollitia non velit suscipit.
