cpf,nome_completo,profissao,trabalha_com_carteira_assinada,idade,localizacao,renda_mensal,estado_civil,numero_de_dependentes,score_de_credito,inadimplencia_anterior,valor_total_do_credito_em_aberto,tipo_de_credito_utilizado_anteriormente,valor_da_compra_a_credito,numero_de_parcelas,taxa_de_juros_mensal_(%),taxa_de_juros_anual_(%),percentual_de_entrada_(%),valor_da_entrada,compra_com_entrada,tipo_de_produto_ou_servico_adquirido,data_da_compra,data_de_entrega,data_da_ultima_compra,data_da_proxima_parcela,numero_de_compras_a_credito_anteriores,montante_total_ja_financiado,percentual_de_comprometimento_de_renda_(%),status_do_pagamento_atual,canal_de_aquisicao,comentarios_e_historico_de_interacoes,status_pgto_ordem,risco_pagamento,score_ajustado
104.965.823-05,Maria Eduarda Barros,Assessor parlamentar,1,32,Pires do Galho,16864,Viúvo,1,607,0,33709.71,Veículo,24786.79,24,1.97,20.47,10,5026.05,True,Eletrônicos,2023-12-12,2024-12-03,2023-08-24,2024-11-16,18,51699.26,49.43,Atrasado,Presencial,Consequatur culpa necessitatibus adipisci consequuntur at repellendus sequi quia fugit omnis dolores.,3,0,607.0
960.781.425-85,Isabel da Paz,Odontologista legal,0,34,Ramos,9649,Casado,3,818,0,25427.84,Veículo,23634.8,48,2.46,35.79,20,7888.54,True,Ferramentas,2023-04-23,2024-11-29,2022-04-06,2024-12-13,10,94440.82,29.24,Atrasado,Presencial,Hic molestias delectus ipsa commodi iusto aperiam.,3,0,818.0
836.194.205-05,Pedro Miguel da Paz,Fiscal,1,60,Correia do Campo,10346,Solteiro,2,337,0,43498.07,Parcelamento em Loja,16539.66,36,2.22,27.83,40,4944.52,True,Ferramentas,2022-02-06,2024-11-16,2021-12-27,2024-11-26,13,33504.7,16.35,Em dia,Telefone,Dicta ratione quas unde omnis vitae vero unde.,1,0,337.0
654.192.038-98,Joaquim da Mota,Administrador de banco de dados DBA,1,32,Pinto de Sales,6126,Viúvo,2,503,0,17345.16,Pessoal,34681.74,36,2.0,16.66,0,2197.81,False,Eletrônicos,2024-06-24,2024-11-20,2023-12-31,2024-11-18,20,15372.9,36.83,Renegociado,Presencial,Delectus culpa veritatis tenetur distinctio illum cupiditate aut incidunt eveniet.,2,0,503.0
158.420.376-53,Lorena Rezende,Maquiador,1,39,Carvalho Grande,15230,Viúvo,3,447,0,12753.48,Parcelamento em Loja,4705.92,24,2.37,25.02,20,8625.27,False,Eletrônicos,2023-09-04,2024-11-20,2021-01-24,2024-11-14,9,24872.81,33.17,Renegociado,Online,Asperiores esse mollitia corporis tempore eveniet facilis vitae ratione sequi molestiae eum velit.,2,0,447.0
614.957.230-70,Olivia Melo,Guarda roupeiro,1,65,Correia da Praia,12512,Solteiro,1,773,0,26298.56,Pessoal,44136.58,24,2.09,6.14,30,4510.72,False,Eletrônicos,2022-03-09,2024-11-16,2021-06-05,2024-11-13,6,21977.31,19.03,Renegociado,Presencial,In laudantium officia qui sunt dolor repellat enim velit.,2,1,773.0
103.628.947-87,Maria Fernanda Melo,Técnico em documentação,1,53,das Neves,16999,Viúvo,4,301,0,33344.73,Imobiliário,48684.55,48,0.79,34.64,30,8118.55,False,Ferramentas,2024-09-17,2024-12-02,2021-02-19,2024-11-14,10,17495.25,17.41,Renegociado,Presencial,Ex sint neque veritatis libero quaerat blanditiis tempora nobis sed neque a necessitatibus.,2,0,301.0
475.128.693-55,Fernanda Peixoto,Acompanhante,0,32,Martins,5987,Casado,2,474,1,1451.37,Parcelamento em Loja,9493.34,6,1.36,23.79,30,1118.87,False,Eletrônicos,2023-09-28,2024-11-14,2021-03-31,2025-01-02,14,3382.08,26.65,Em dia,Online,Architecto animi doloribus tempore iusto minima libero beatae laudantium tempora eveniet.,1,0,237.0
123.975.840-50,Sr. Calebe Ramos,Artista/Técnico em espetáculos de diversões,1,24,Santos,12656,Divorciado,0,602,0,3461.64,Veículo,36694.62,48,2.54,8.16,0,1428.84,False,Ferramentas,2021-11-23,2024-11-21,2023-05-07,2024-12-19,19,78057.4,10.32,Renegociado,Online,Veritatis veniam maxime consectetur adipisci perferendis voluptas consequatur facilis quas quas amet deleniti.,2,0,602.0
503.682.719-86,Luiz Felipe das Neves,Engenheiro de horticultura,1,55,Freitas dos Dourados,7294,Divorciado,4,614,0,24952.06,Veículo,10189.14,36,1.68,33.22,10,8979.49,True,Eletrônicos,2024-09-17,2024-11-19,2020-11-11,2024-12-26,20,1228.11,15.55,Renegociado,Online,Sunt eaque mollitia non velit suscipit.,2,1,614.0
359.876.401-48,Pedro Miguel das Neves,Cientista social,1,67,Lopes,17214,Casado,3,329,0,38466.81,Pessoal,33452.77,6,1.65,9.96,30,791.65,True,Eletrônicos,2022-03-22,2024-11-14,2021-04-19,2024-12-20,2,28128.93,29.83,Em dia,Presencial,Magnam sint ipsa placeat possimus quam soluta pariatur facere dolores modi unde.,1,0,329.0
234.578.610-80,Srta. Letícia da Rosa,Gravurista,1,70,Pinto,14487,Casado,1,631,1,22843.5,Pessoal,23857.95,6,2.07,15.74,10,2457.4,False,Móveis,2023-03-14,2024-11-21,2024-08-20,2024-11-17,1,94566.47,30.1,Em dia,Telefone,Dicta eius error ullam officia repellendus.,1,0,315.5
287.065.194-58,Lucca Melo,Escriturário,1,62,Silveira,14829,Solteiro,3,662,1,10070.0,Imobiliário,44502.52,12,2.55,8.74,30,2202.87,True,Móveis,2024-05-06,2024-11-30,2022-11-15,2024-12-27,10,74329.29,28.05,Atrasado,Online,Eum itaque expedita sit veritatis sit necessitatibus unde atque quod officia cumque unde.,3,0,331.0
619.347.250-99,Sra. Cecília Nunes,Ortodontista,0,49,da Mota da Prata,15856,Divorciado,2,826,0,30570.78,Pessoal,36184.8,6,1.07,14.54,20,3103.98,True,Móveis,2023-05-20,2024-11-24,2021-01-10,2024-11-09,10,86495.25,47.38,Renegociado,Presencial,Quibusdam optio at dicta eius sint maiores animi reprehenderit tenetur nemo voluptatibus assumenda.,2,1,826.0
184.652.097-58,Alexandre Moreira,Técnico em radiologia,1,19,Alves,19077,Solteiro,4,829,0,29080.59,Parcelamento em Loja,36063.26,12,1.4,24.9,10,7943.43,True,Eletrodomésticos,2024-10-24,2024-11-18,2022-11-03,2025-01-02,15,66724.77,47.11,Atrasado,Telefone,Libero non beatae id odio quasi blanditiis culpa sint unde vero illum quibusdam.,3,0,829.0
270.569.148-02,Breno Moraes,Produtor de multimídia,0,27,Cunha,19427,Viúvo,0,435,1,48061.74,Veículo,15627.04,6,0.8,32.25,10,2026.3,False,Móveis,2024-09-28,2024-11-17,2024-04-15,2024-11-24,3,80975.2,35.19,Atrasado,Presencial,Amet non quia at beatae illo consectetur.,3,0,217.5
483.126.059-24,Matheus Correia,Comerciante,1,25,das Neves do Oeste,12019,Viúvo,0,433,1,24777.3,Imobiliário,6105.17,6,1.61,34.73,0,2745.79,False,Eletrônicos,2024-06-02,2024-12-04,2022-05-19,2024-11-28,4,78246.92,48.49,Em dia,Online,Aliquam nulla adipisci consequatur exercitationem quia minus ipsa.,1,0,216.5
